state_po,month,mean_index,primary_date,treat_may,march_primary,aei_sample
NE,2025-11-01,0,2026-05-12,TRUE,FALSE,FALSE
NE,2025-12-01,0,2026-05-12,TRUE,FALSE,FALSE
NE,2026-01-01,0,2026-05-12,TRUE,FALSE,FALSE
NE,2026-02-01,1,2026-05-12,TRUE,FALSE,FALSE
NE,2026-03-01,2,2026-05-12,TRUE,FALSE,FALSE
NE,2026-04-01,5.4,2026-05-12,TRUE,FALSE,FALSE
NE,2026-05-01,23.75,2026-05-12,TRUE,FALSE,FALSE
NH,2025-07-01,0,2026-09-08,FALSE,FALSE,FALSE
NH,2025-08-01,0,2026-09-08,FALSE,FALSE,FALSE
NH,2025-09-01,0,2026-09-08,FALSE,FALSE,FALSE
NH,2025-10-01,0,2026-09-08,FALSE,FALSE,FALSE
NH,2025-11-01,0,2026-09-08,FALSE,FALSE,FALSE
NH,2025-12-01,0,2026-09-08,FALSE,FALSE,FALSE
NH,2026-01-01,0,2026-09-08,FALSE,FALSE,FALSE
NH,2026-02-01,0,2026-09-08,FALSE,FALSE,FALSE
NH,2026-03-01,1,2026-09-08,FALSE,FALSE,FALSE
NH,2026-04-01,0.8,2026-09-08,FALSE,FALSE,FALSE
NH,2026-05-01,1.75,2026-09-08,FALSE,FALSE,FALSE
NJ,2025-07-01,0.8,2026-06-02,FALSE,FALSE,TRUE
NJ,2025-08-01,0.25,2026-06-02,FALSE,FALSE,TRUE
NJ,2025-09-01,0,2026-06-02,FALSE,FALSE,TRUE
NJ,2025-10-01,1,2026-06-02,FALSE,FALSE,TRUE
NJ,2025-11-01,2,2026-06-02,FALSE,FALSE,TRUE
NJ,2025-12-01,0,2026-06-02,FALSE,FALSE,TRUE
NJ,2026-01-01,1.25,2026-06-02,FALSE,FALSE,TRUE
NJ,2026-02-01,3.25,2026-06-02,FALSE,FALSE,TRUE
NJ,2026-03-01,3.25,2026-06-02,FALSE,FALSE,TRUE
NJ,2026-04-01,2.4,2026-06-02,FALSE,FALSE,TRUE
NJ,2026-05-01,7.25,2026-06-02,FALSE,FALSE,TRUE
NM,2025-07-01,0,2026-06-02,FALSE,FALSE,FALSE
NM,2025-08-01,0,2026-06-02,FALSE,FALSE,FALSE
NM,2025-09-01,0,2026-06-02,FALSE,FALSE,FALSE
NM,2025-10-01,0,2026-06-02,FALSE,FALSE,FALSE
NM,2025-11-01,0,2026-06-02,FALSE,FALSE,FALSE
NM,2025-12-01,0,2026-06-02,FALSE,FALSE,FALSE
NM,2026-01-01,0,2026-06-02,FALSE,FALSE,FALSE
NM,2026-02-01,1,2026-06-02,FALSE,FALSE,FALSE
NM,2026-03-01,4.5,2026-06-02,FALSE,FALSE,FALSE
NM,2026-04-01,1,2026-06-02,FALSE,FALSE,FALSE
NM,2026-05-01,11.25,2026-06-02,FALSE,FALSE,FALSE
NV,2025-07-01,0,2026-06-09,FALSE,FALSE,TRUE
NV,2025-08-01,0,2026-06-09,FALSE,FALSE,TRUE
NV,2025-09-01,0,2026-06-09,FALSE,FALSE,TRUE
NV,2025-10-01,0,2026-06-09,FALSE,FALSE,TRUE
NV,2025-11-01,1,2026-06-09,FALSE,FALSE,TRUE
NV,2025-12-01,0.4,2026-06-09,FALSE,FALSE,TRUE
NV,2026-01-01,0,2026-06-09,FALSE,FALSE,TRUE
NV,2026-02-01,1.75,2026-06-09,FALSE,FALSE,TRUE
NV,2026-03-01,2.25,2026-06-09,FALSE,FALSE,TRUE
NV,2026-04-01,1.6,2026-06-09,FALSE,FALSE,TRUE
NV,2026-05-01,8.5,2026-06-09,FALSE,FALSE,TRUE
NY,2025-07-01,1.2,2026-06-23,FALSE,FALSE,TRUE
NY,2025-08-01,0.5,2026-06-23,FALSE,FALSE,TRUE
NY,2025-09-01,0.5,2026-06-23,FALSE,FALSE,TRUE
NY,2025-10-01,1,2026-06-23,FALSE,FALSE,TRUE
NY,2025-11-01,1.75,2026-06-23,FALSE,FALSE,TRUE
NY,2025-12-01,0.8,2026-06-23,FALSE,FALSE,TRUE
NY,2026-01-01,1,2026-06-23,FALSE,FALSE,TRUE
NY,2026-02-01,1.75,2026-06-23,FALSE,FALSE,TRUE
NY,2026-03-01,3,2026-06-23,FALSE,FALSE,TRUE
NY,2026-04-01,1.6,2026-06-23,FALSE,FALSE,TRUE
NY,2026-05-01,4,2026-06-23,FALSE,FALSE,TRUE
OH,2025-07-01,0.2,2026-05-05,TRUE,FALSE,TRUE
OH,2025-08-01,0.25,2026-05-05,TRUE,FALSE,TRUE
OH,2025-09-01,0.75,2026-05-05,TRUE,FALSE,TRUE
OH,2025-10-01,1.4,2026-05-05,TRUE,FALSE,TRUE
OH,2025-11-01,2.25,2026-05-05,TRUE,FALSE,TRUE
OH,2025-12-01,0.4,2026-05-05,TRUE,FALSE,TRUE
OH,2026-01-01,1.75,2026-05-05,TRUE,FALSE,TRUE
OH,2026-02-01,3,2026-05-05,TRUE,FALSE,TRUE
OH,2026-03-01,6.25,2026-05-05,TRUE,FALSE,TRUE
OH,2026-04-01,9.2,2026-05-05,TRUE,FALSE,TRUE
OH,2026-05-01,30.5,2026-05-05,TRUE,FALSE,TRUE
